50001,10001,39282.00,SUCCESS,WALLET,2025-01-10
50002,10001,28243.00,FAILED,CARD,2025-01-19
50003,10001,809.00,FAILED,CARD,2025-01-07
50004,10001,46950.00,FAILED,WALLET,2025-01-30
50005,10001,34963.00,SUCCESS,CARD,2025-01-01
50006,10001,5032.00,SUCCESS,WALLET,2025-01-16
50007,10001,39236.00,SUCCESS,CARD,2025-01-24
50008,10001,46443.00,SUCCESS,WALLET,2025-01-11
50009,10001,47250.00,FAILED,CARD,2025-01-20
50010,10001,5011.00,FAILED,CARD,2025-01-24
50011,10001,9684.00,SUCCESS,WALLET,2025-01-11
50012,10001,25754.00,SUCCESS,CARD,2025-01-30
50013,10001,41264.00,SUCCESS,WALLET,2025-01-24
50014,10001,NULL,FAILED,WALLET,2025-01-13
50015,10001,6638.00,SUCCESS,WALLET,2025-01-22
50016,10001,32190.00,SUCCESS,CARD,2025-01-19
50017,10001,39528.00,SUCCESS,CARD,2025-01-05
50018,10001,2078.00,SUCCESS,WALLET,2025-01-09
50019,10001,22847.00,SUCCESS,WALLET,2025-01-01
50020,10001,43372.00,SUCCESS,BANK,2025-01-09
50021,10001,40029.00,SUCCESS,WALLET,2025-01-01
50022,10002,15762.00,SUCCESS,WALLET,2025-01-22
50023,10002,2800.00,SUCCESS,CARD,2025-01-27
50024,10002,49036.00,SUCCESS,WALLET,2025-01-29
50025,10002,46662.00,SUCCESS,WALLET,2025-01-28
50026,10002,3446.00,SUCCESS,CARD,2025-01-21
50027,10002,30116.00,SUCCESS,CARD,2025-01-18
50028,10002,34298.00,SUCCESS,WALLET,2025-01-21
50029,10002,14850.00,SUCCESS,WALLET,2025-01-01
50030,10002,43195.00,SUCCESS,WALLET,2025-01-21
50031,10002,2751.00,SUCCESS,CARD,2025-01-27
50032,10002,27360.00,SUCCESS,CARD,2025-01-05
50033,10002,25005.00,SUCCESS,WALLET,2025-01-11
50034,10002,7873.00,FAILED,BANK,2025-01-27
50035,10002,30679.00,SUCCESS,CARD,2025-01-17
50036,10002,17398.00,FAILED,CARD,2025-01-02
50037,10002,11276.00,SUCCESS,WALLET,2025-01-25
